ADMIN_CODE,ADMIN_L1_NAME,ADMIN_L2_NAME,ADMIN_L3_NAME
HT0122-04,Ouest,Petit Goave,Fond Arabie
HT0732-07,Sud,St. Louis du Sud,Cherette
HT0741-01,Sud,Coteaux,Conde
HT0743-01,Sud,Roche-A-Bateau,Beaulieu
HT0113-05,Ouest,Carrefour,Coupeau
HT0743-02,Sud,Roche-A-Bateau,Renaudin
HT0321-01,Nord,Acul du Nord,Champ Louise
HT0132-04,Ouest,Thomazeau,Crochus
HT0211-08,Sud-Est,Jacmel,Bas Coq Chante
HT0715-02,Sud,Maniche,Dory
HT0722-02,Sud,St. Jean du Sud,Debouchette
HT0753-02,Sud,Tiburon,Sevre
HT0723-03,Sud,Arniquet,Arniquet
HT0732-05,Sud,St. Louis du Sud,Sucrerie Henry
HT0742-02,Sud,Port-a-Piment,Balais
HT0742-01,Sud,Port-a-Piment,Paricot
HT0222-03,Sud-Est,Cotes de Fer,Bras Gauche
HT0832-03,Grande Anse,Roseaux,Grand Vincent
HT0934-06,Nord Ouest,Jean Rabel,Grande Source
HT0322-03,Nord,Plaine du Nord,Grand Boucan
HT0113-06,Ouest,Carrefour,Bouvier
HT0921-02,Nord Ouest,Saint Louis du Nord,Derouvray
HT0932-03,Nord Ouest,Baie de Henne,Reserve / Ti Paradis
HT0331-06,Nord,Grande Riviere Du Nord,Cormiers
HT0714-01,Sud,Camp Perrin,Levy Mersan
HT0911-02,Nord Ouest,Port De Paix,La Pointe
HT0311-02,Nord,Cap Haitien,Haut Du Cap
HT0213-02,Sud-Est,Cayes-Jacmel,Gaillard
HT0352-03,Nord,Port Margot,Corail Port Margot
HT0412-01,Nord Est,Ferrier,Bas Maribajoux
HT0332-03,Nord,Bahon,Montagne Noire
HT0371-01,Nord,Plaisance,Colline Gobert
HT0552-01,Artibonite,Marmelade,Crete A Pins
HT0213-03,Sud-Est,Cayes-Jacmel,Haut Cap-Rouge
HT0521-04,Artibonite,Gros Morne,L'Acul
HT0541-05,Artibonite,Dessalines/Marchandes,Fiefie
HT0134-03,Ouest,Cornillon/Grd Bois,Boucan Bois Pin
HT0934-01,Nord Ouest,Jean Rabel,Lacoma
HT0331-02,Nord,Grande Riviere Du Nord,Solon
HT0342-03,Nord,Dondon,Matador
HT0371-03,Nord,Plaisance,Martineau
HT0933-03,Nord Ouest,Bombardopolis,Plaine D'Orangers
HT0121-02,Ouest,Leogane,Petite Riviere
HT0521-01,Artibonite,Gros Morne,Boucan Richard
HT0921-03,Nord Ouest,Saint Louis du Nord,Des Granges
HT0322-01,Nord,Plaine du Nord,Morne Rouge
HT0372-05,Nord,Pilate,Dubourgs
HT0914-01,Nord Ouest,Chamsolme,Section De Chansolme
HT0372-06,Nord,Pilate,Piment
HT0321-02,Nord,Acul du Nord,Bas De L'Acul
HT0521-05,Artibonite,Gros Morne,Pendu
HT0622-04,Centre,Saut d'Eau,Montagne Terrible
HT0312-01,Nord,Quartier Morin,Basse Plaine
HT0351-03,Nord,Borgne,Petit Bourg De Borgn
HT0831-02,Grande Anse,Corail,Fonds D'Icaque
HT0531-06,Artibonite,Saint-Marc,Charrette
HT0933-02,Nord Ouest,Bombardopolis,Des Forges
HT0113-10,Ouest,Carrefour,Thor
HT0934-07,Nord Ouest,Jean Rabel,Diondion
HT0622-02,Centre,Saut d'Eau,La Selle
HT0931-03,Nord Ouest,Mole Saint Nicolas,Dame
HT0371-06,Nord,Plaisance,La Ville
HT0351-07,Nord,Borgne,Cote De Fer / Fond L
HT0914-02,Nord Ouest,Chamsolme,Source Beauvoir
HT0361-01,Nord,Limbe,Haut Limbe / Acul Je
HT0532-01,Artibonite,Verrettes,Liancourt
HT0434-01,Nord Est,Caracol,Champin
HT0351-01,Nord,Borgne,Margot
HT0413-02,Nord Est,Perches,Haut Des Perches
HT0323-02,Nord,Milot,Bonnet A L'Eveque
HT0911-01,Nord Ouest,Port De Paix,Baudin
HT0352-05,Nord,Port Margot,Bas Quartier
HT0311-03,Nord,Cap Haitien,Petite Anse
HT0151-05,Ouest,Anse A Galet,Picmy
HT0921-06,Nord Ouest,Saint Louis du Nord,Lafagne / Chamoise
HT0372-01,Nord,Pilate,Ballon
HT0151-02,Ouest,Anse A Galet,Petite Source
HT0921-04,Nord Ouest,Saint Louis du Nord,Riviere De Barre
HT0372-04,Nord,Pilate,Joly
HT0913-03,Nord Ouest,Bassin Bleu,Haut Des Moustiques
HT0342-01,Nord,Dondon,Brotage
HT0911-06,Nord Ouest,Port De Paix,La Corne
HT0922-01,Nord Ouest,Anse A Foleur,Riviere Des Negres
HT0432-01,Nord Est,Sainte Suzanne,Foulon
HT0934-05,Nord Ouest,Jean Rabel,Dessources
HT0372-08,Nord,Pilate,Margot
HT0613-01,Centre,Thomonde,Cabral
HT0911-04,Nord Ouest,Port De Paix,Mahotiere
HT0433-02,Nord Est,Terrier Rouge,Grand Bassin
HT0912-01,Nord Ouest,La Tortue,La Tortue / Pointe D
HT0934-04,Nord Ouest,Jean Rabel,La Montagne
HT0361-04,Nord,Limbe,Soufriere
HT0142-01,Ouest,Cabaret,Boucassin
HT0313-02,Nord,Limonade,Bois De Lance
HT0411-04,Nord Est,Fort Liberte,Haut Madelaine
HT0932-04,Nord Ouest,Baie de Henne,L'Esthere Dere
HT0131-02,Ouest,Croix-Des-Bouquets,Varreux
HT0361-06,Nord,Limbe,Illot A Cornes
HT0931-02,Nord Ouest,Mole Saint Nicolas,Mare Rouge
HT0431-01,Nord Est,Trou du Nord,Garcin
HT0342-05,Nord,Dondon,Haut Du Trou
HT0133-02,Ouest,Ganthier,Balan
HT0541-01,Artibonite,Dessalines/Marchandes,Villars
HT0511-05,Artibonite,Gonaives,La Branle
HT0911-05,Nord Ouest,Port De Paix,Bas Des Moustiques
HT0371-05,Nord,Plaisance,La Trouble
HT0622-03,Centre,Saut d'Eau,Coupe Mardi Gras
HT0121-01,Ouest,Leogane,Desssources
HT0913-02,Nord Ouest,Bassin Bleu,Carreau Datty
HT0152-05,Ouest,Pointe A Raquette,Pointe A Raquette
HT0933-01,Nord Ouest,Bombardopolis,Plate Forme
HT0621-03,Centre,Mirebalais,Grand Boucan
HT0322-04,Nord,Plaine du Nord,Bassin Diamant
HT0121-07,Ouest,Leogane,Parques
HT0413-01,Nord Est,Perches,Haut Des Perches
HT0351-05,Nord,Borgne,Champagne
HT0432-02,Nord Est,Sainte Suzanne,Bois Blanc
HT0122-06,Ouest,Petit Goave,Trou Canari
HT0113-08,Ouest,Carrefour,Berly
HT0552-03,Artibonite,Marmelade,Platon
HT0432-04,Nord Est,Sainte Suzanne,Sarazin
HT0623-02,Centre,Boucan Carre,Boucan Carre
HT0431-02,Nord Est,Trou du Nord,Roucou
HT0622-01,Centre,Saut d'Eau,Riviere Canot
HT0631-02,Centre,Lascahobas,Juampas
HT0151-06,Ouest,Anse A Galet,Petite Anse
HT0621-04,Centre,Mirebalais,Crete Brulee
HT0633-02,Centre,Savanette,La Haye
HT0131-09,Ouest,Croix-Des-Bouquets,Crochus
HT0342-02,Nord,Dondon,Bassin Caiman
HT0623-01,Centre,Boucan Carre,Petite Montagne
HT0814-01,Grande Anse,Moron,Anote / Tapion
HT0113-01,Ouest,Carrefour,Mare Roseaux
HT0121-03,Ouest,Leogane,Grande Riviere
HT0351-04,Nord,Borgne,Trou D'Enfer
HT0113-02,Ouest,Carrefour,Platon Dufrene
HT0311-01,Nord,Cap Haitien,Bande Du Nord
HT0812-03,Grande Anse,Abricots,Danglise
HT0342-04,Nord,Dondon,Laguille
HT0113-11,Ouest,Carrefour,Riviere Froide
HT0134-01,Ouest,Cornillon/Grd Bois,Plaine Celeste
HT0833-02,Grande Anse,Beaumont,Chardonnette
HT0142-03,Ouest,Cabaret,Source Matelas
HT0372-02,Nord,Pilate,Baudin
HT0113-07,Ouest,Carrefour,Lavalle
HT0511-03,Artibonite,Gonaives,Riviere De Bayonnais
HT0551-01,Artibonite,Saint-Michel de l'Attal,Platana
HT0512-03,Artibonite,Ennery,Chemin Neuf
HT0371-04,Nord,Plaisance,Mapou
HT0343-02,Nord,Ranquitte,Bois De Lance
HT0343-03,Nord,Ranquitte,Cracaraille
HT0443-01,Nord Est,Mombin Crochu,Sans Souci
HT0313-01,Nord,Limonade,Basse Plaine
HT0434-02,Nord Est,Caracol,Claudine / Jacquesil
HT0433-01,Nord Est,Terrier Rouge,Fonds Blanc
HT0523-01,Artibonite,Anse Rouge,Plaine De L'Arbre
HT0411-01,Nord Est,Fort Liberte,Dumas
HT0322-02,Nord,Plaine du Nord,Basse Plaine
HT0312-02,Nord,Quartier Morin,Morne Pelee
HT0411-02,Nord Est,Fort Liberte,Bayaha
HT0431-03,Nord Est,Trou du Nord,Roche Plate
HT0321-03,Nord,Acul du Nord,Mornet
HT0321-06,Nord,Acul du Nord,Soufriere
HT0511-04,Artibonite,Gonaives,Poteau
HT0511-02,Artibonite,Gonaives,Bassin
HT0421-01,Nord Est,Ouanaminthe,Haut Maribahoux
HT0552-02,Artibonite,Marmelade,Crete A Pins
HT0331-05,Nord,Grande Riviere Du Nord,Joly Trou
HT0432-03,Nord Est,Sainte Suzanne,Cotelette
HT0411-03,Nord Est,Fort Liberte,Loiseau
HT0331-03,Nord,Grande Riviere Du Nord,Caracol
HT0331-04,Nord,Grande Riviere Du Nord,Gambade
HT0422-01,Nord Est,Capotille,Capotille
HT0421-02,Nord Est,Ouanaminthe,Acul Des Pins
HT0421-03,Nord Est,Ouanaminthe,Savane Longue
HT0421-04,Nord Est,Ouanaminthe,Savane Au Lait
HT0432-05,Nord Est,Sainte Suzanne,Moka Neuf
HT0441-02,Nord Est,Valliere,Ecrevisse / Grosse R
HT0512-02,Artibonite,Ennery,Passe Reine
HT0332-01,Nord,Bahon,Bois Pin
HT0341-02,Nord,St. Raphael,Mathurin
HT0441-01,Nord Est,Valliere,Trois Palmistes
HT0432-06,Nord Est,Sainte Suzanne,Fond Bleu
HT0332-02,Nord,Bahon,Bally
HT0341-01,Nord,St. Raphael,Bois Neuf
HT0511-01,Artibonite,Gonaives,Pont Tamarin
HT0551-02,Artibonite,Saint-Michel de l'Attal,Camathe
HT0551-04,Artibonite,Saint-Michel de l'Attal,Lalomas
HT0422-02,Nord Est,Capotille,Lamine
HT0512-01,Artibonite,Ennery,Savanne Carre
HT0551-03,Artibonite,Saint-Michel de l'Attal,Bas De Sault
HT0341-04,Nord,St. Raphael,San Yago
HT0441-03,Nord Est,Valliere,Carosse
HT0423-02,Nord Est,Mont Organise,Bois Poux
HT0341-03,Nord,St. Raphael,Bouyaha
HT0343-01,Nord,Ranquitte,Bac A Soude
HT0442-01,Nord Est,Carice,Bois Camelle
HT0423-01,Nord Est,Mont Organise,Savanette
HT0344-01,Nord,Pignon,Savanette
HT0443-02,Nord Est,Mombin Crochu,Bois Laurence
HT0551-08,Artibonite,Saint-Michel de l'Attal,L'Attalaye
HT0551-07,Artibonite,Saint-Michel de l'Attal,Mamont
HT0442-02,Nord Est,Carice,Rose Bonite
HT0345-01,Nord,La Victoire,La Victoire
HT0344-02,Nord,Pignon,La Belle Mere
HT0544-01,Artibonite,Desdunes,Desdunes
HT0551-06,Artibonite,Saint-Michel de l'Attal,Lacedras
HT0614-01,Centre,Cerca Carvajal,Rang
HT0541-03,Artibonite,Dessalines/Marchandes,Oge
HT0611-04,Centre,Hinche,Aguahedionde (Rive Gauche)
HT0612-03,Centre,Maissade,Hatty
HT0641-03,Centre,Cerca La Source,La Mielle
HT0543-01,Artibonite,Grande Saline,Poteneau
HT0541-04,Artibonite,Dessalines/Marchandes,Poste Pierrot
HT0641-02,Centre,Cerca La Source,Acajou Brule No 2
HT0531-05,Artibonite,Saint-Marc,Bocozelle
HT0541-06,Artibonite,Dessalines/Marchandes,La Croix
HT0611-03,Centre,Hinche,Aguahedionde (Rive Droite)
HT0542-01,Artibonite,Petite Riviere de l'Art,Bas Coursin
HT0641-01,Centre,Cerca La Source,Acajou Brule No 1
HT0642-01,Centre,Thomassique,Matelgate
HT0612-02,Centre,Maissade,Hatty
HT0611-01,Centre,Hinche,Juanaria
HT0542-05,Artibonite,Petite Riviere de l'Art,Perodin
HT0531-04,Artibonite,Saint-Marc,Lalouere
HT0542-03,Artibonite,Petite Riviere de l'Art,Labady
HT0642-02,Centre,Thomassique,Lociane
HT0532-02,Artibonite,Verrettes,Belanger
HT0542-06,Artibonite,Petite Riviere de l'Art,Medor
HT0531-02,Artibonite,Saint-Marc,Bois Neuf
HT0542-04,Artibonite,Petite Riviere de l'Art,Savane A Roche
HT0532-05,Artibonite,Verrettes,Bastien
HT0532-03,Artibonite,Verrettes,Guillaume Moge
HT0532-04,Artibonite,Verrettes,Desarmes
HT0623-03,Centre,Boucan Carre,Des Bayes
HT0531-01,Artibonite,Saint-Marc,Deluge
HT0533-02,Artibonite,La Chapelle,Bossous
HT0632-02,Centre,Belladere,Roy-Sec
HT0613-04,Centre,Lascahobas,La Hoye
HT0141-04,Ouest,Arcahaie,Montrouis
HT0141-02,Ouest,Arcahaie,Fonds Baptiste
HT0152-01,Ouest,Pointe A Raquette,Gros Mangle
HT0141-06,Ouest,Arcahaie,Des Matheux
HT0533-01,Artibonite,La Chapelle,Martineau
HT0152-02,Ouest,Pointe A Raquette,La Source
HT0151-04,Ouest,Anse A Galet,Grand Lagon
HT0152-03,Ouest,Pointe A Raquette,Grand Vide
HT0152-04,Ouest,Pointe A Raquette,Trou Louis
HT0131-10,Ouest,Croix-Des-Bouquets,Orangers
HT0132-01,Ouest,Thomazeau,Grande Plaine
HT0811-09,Grande Anse,Jeremie,Fond Rouge De Torbec
HT0813-01,Grande Anse,Bonbon,Desormeau (Bonbon)
HT0812-02,Grande Anse,Abricots,Balisier
HT0812-04,Grande Anse,Abricots,La Seringue
HT0811-07,Grande Anse,Jeremie,Marfranc / Grande Ri
HT0822-04,Grande Anse,Dame-Marie,Petite Riviere
HT0811-04,Grande Anse,Jeremie,Basse Guinaudee
HT0811-01,Grande Anse,Jeremie,Basse Voldrogue
HT0131-03,Ouest,Croix-Des-Bouquets,Petit Bois
HT0832-01,Grande Anse,Roseaux,Carrefour Charles/Ja
HT0831-03,Grande Anse,Corail,Champy (Nan Campeche
HT0133-03,Ouest,Ganthier,Fond Parisien
HT0811-05,Grande Anse,Jeremie,Ravine A Charles
HT0822-05,Grande Anse,Dame-Marie,Baliverne
HT0811-06,Grande Anse,Jeremie,Iles Blanches
HT0831-01,Grande Anse,Corail,Duquillon
HT0815-01,Grande Anse,Chambellan,Dejean
HT0814-02,Grande Anse,Moron,Sources Chaudes
HT0811-03,Grande Anse,Jeremie,Haute Guinaudee
HT0834-01,Grande Anse,Pestel,Bernagousse
HT0815-02,Grande Anse,Chambellan,Boucan
HT0116-02,Ouest,Gressier,Morne Chandelle
HT0822-01,Grande Anse,Dame-Marie,Bariadelle
HT0133-05,Ouest,Ganthier,Mare Roseaux
HT0814-03,Grande Anse,Moron,L'Assive / Chaumeau
HT0834-02,Grande Anse,Pestel,Espere
HT0131-08,Ouest,Croix-Des-Bouquets,Belle Fontaine
HT0832-02,Grande Anse,Roseaux,Fond Cochon
HT0833-01,Grande Anse,Beaumont,Beaumont
HT0821-02,Grande Anse,Anse d'Hainault,Boudon
HT0834-04,Grande Anse,Pestel,Duchity
HT0821-01,Grande Anse,Anse d'Hainault,Grandoit
HT0833-03,Grande Anse,Beaumont,Mouline
HT0821-03,Grande Anse,Anse d'Hainault,Ilet A Pierre Joseph
HT0834-05,Grande Anse,Pestel,Duchity
HT0122-03,Ouest,Petit Goave,Trou Chouchou
HT0121-11,Ouest,Leogane,Gros Morne
HT0135-01,Ouest,Fonds Verrettes,Fonds-Verrettes
HT0121-05,Ouest,Leogane,Palmiste A Vin
HT0121-12,Ouest,Leogane,Cormiers
HT0821-04,Grande Anse,Anse d'Hainault,Mandou
HT0123-01,Ouest,Grand-Goave,Tete A Bouf
HT0121-08,Ouest,Leogane,Beausejour
HT0823-01,Grande Anse,Les Irois,Matador / Jorgue
HT0123-07,Ouest,Grand-Goave,Gerard
HT0131-06,Ouest,Croix-Des-Bouquets,Belle Fontaine
HT0122-11,Ouest,Petit Goave,Ravine Seche
HT0131-07,Ouest,Croix-Des-Bouquets,Belle Fontaine
HT0733-04,Sud,Cavaillon,Mare Henry
HT0121-10,Ouest,Leogane,Fond D'Oie
HT0715-03,Sud,Maniche,Melon
HT0823-02,Grande Anse,Les Irois,Belair
HT0211-07,Sud-Est,Jacmel,Grande Riv. De Jacme
HT0714-02,Sud,Camp Perrin,Champlois
HT0751-02,Sud,Chardonnieres,Dejoie
HT0823-03,Grande Anse,Les Irois,Carcasse
HT0123-02,Ouest,Grand-Goave,Tete A Bouf
HT0123-05,Ouest,Grand-Goave,Grande Colline
HT0713-03,Sud,Chantal,Carrefour Canon
HT0731-08,Sud,Aquin,Guirand
HT0212-03,Sud-Est,Marigot,Macary
HT0231-01,Sud-Est,Belle Anse,Bais D'Orange
HT0231-02,Sud-Est,Belle Anse,Mabriole
HT0731-10,Sud,Aquin,Guirand
HT0122-08,Ouest,Petit Goave,Des Platons
HT0712-04,Sud,Torbeck,Moreau
HT0212-04,Sud-Est,Marigot,Fond Jean-Noel
HT0212-02,Sud-Est,Marigot,Grande Riviere Fesle
HT0122-10,Ouest,Petit Goave,Des Palmes
HT0733-02,Sud,Cavaillon,Martineau
HT0753-03,Sud,Tiburon,Loby
HT0231-03,Sud-Est,Belle Anse,Callumette
HT0231-04,Sud-Est,Belle Anse,Corail Lamothe
HT0211-06,Sud-Est,Jacmel,Montagne La Voute
HT0715-01,Sud,Maniche,Maniche
HT0731-07,Sud,Aquin,Frangipane
HT0122-09,Ouest,Petit Goave,Des Palmes
HT0733-01,Sud,Cavaillon,Boileau
HT0731-03,Sud,Aquin,Brodequin
HT0231-05,Sud-Est,Belle Anse,Belair
HT0232-01,Sud-Est,Grand Gosier,Colline Des Chaines
HT0231-06,Sud-Est,Belle Anse,Pichon
HT0231-07,Sud-Est,Belle Anse,Mapou
HT0222-06,Sud-Est,Cotes de Fer,Jamais Vu
HT0711-05,Sud,Les Cayes,Mercy
HT0753-01,Sud,Tiburon,Blactote
HT0731-01,Sud,Aquin,Macean
HT0211-01,Sud-Est,Jacmel,Bas Cap-Rouge
HT0711-06,Sud,Les Cayes,Doulmier
HT0233-01,Sud-Est,Thiotte,Thiotte
HT0234-02,Sud-Est,Anse A Pitre,Bois D'Orme
HT0712-03,Sud,Torbeck,Solon
HT0711-04,Sud,Les Cayes,Laurent
HT0732-06,Sud,St. Louis du Sud,Solon
HT0222-05,Sud-Est,Cotes de Fer,Boucan Belier
HT0732-04,Sud,St. Louis du Sud,Des Zanglais
HT0731-04,Sud,Aquin,Flamant
HT0732-03,Sud,St. Louis du Sud,Grenodiere
HT0221-07,Sud-Est,Bainet,Bras Gauche
HT0212-05,Sud-Est,Marigot,Savane Dubois
HT0732-02,Sud,St. Louis du Sud,Baie Dumerle
HT0221-08,Sud-Est,Bainet,Orangers
HT0221-05,Sud-Est,Bainet,Bas Grandou
HT0711-01,Sud,Les Cayes,Bourdet
HT0222-01,Sud-Est,Cotes de Fer,Gris Gris
HT0713-01,Sud,Chantal,Fonds Palmiste
HT0712-02,Sud,Torbeck,Berreault
HT0233-02,Sud-Est,Thiotte,Pot De Chambre
HT0713-02,Sud,Chantal,Veroniere
HT0222-02,Sud-Est,Cotes de Fer,La Biche
HT0234-01,Sud-Est,Anse A Pitre,Boucan Guillaume
HT0221-09,Sud-Est,Bainet,Bas De Gris Gris
HT0712-01,Sud,Torbeck,Boury
HT0716-01,Sud,Ile A Vache,Ile A Vache
HT0722-03,Sud,St. Jean du Sud,Trichet
HT0351-02,Nord,Borgne,Boucan Michel
HT0522-02,Artibonite,Terre Neuve,Bois Neuf
HT0523-02,Artibonite,Anse Rouge,Sources Chaudes
HT0811-02,Grande Anse,Jeremie,Haute Voldrogue
HT0733-05,Sud,Cavaillon,Larogue
HT0113-12,Ouest,Carrefour,Malanga
HT0121-09,Ouest,Leogane,Citronier
HT0121-04,Ouest,Leogane,Fond-De-Boudin
HT0122-12,Ouest,Petit Goave,Des Palmes
HT0921-05,Nord Ouest,Saint Louis du Nord,Borneau
HT0612-01,Centre,Maissade,Grande Savane
HT0133-04,Ouest,Ganthier,Pays Pourri
HT0721-02,Sud,Port-Salut,Dumont
HT0721-01,Sud,Port-Salut,Darbois
HT0822-02,Grande Anse,Dame-Marie,Dallier
HT0116-01,Ouest,Gressier,Morne A Bateau
HT0834-06,Grande Anse,Pestel,Les Cayemites
HT0221-03,Sud-Est,Bainet,La Vallee
HT0221-02,Sud-Est,Bainet,Trou Mahot
HT0221-01,Sud-Est,Bainet,Breslienne
HT0211-02,Sud-Est,Jacmel,Fond Melon (Selle Et
HT0213-04,Sud-Est,Cayes-Jacmel,Fond Melon Michineau
HT0211-04,Sud-Est,Jacmel,La Gosseline
HT0214-02,Sud-Est,La Vallee,Ternier
HT0214-03,Sud-Est,La Vallee,Morne A Bruler
HT0211-10,Sud-Est,Jacmel,Lavaneau
HT0211-11,Sud-Est,Jacmel,La Montagne
HT0211-09,Sud-Est,Jacmel,Haut Coq Chante
HT0123-06,Ouest,Grand-Goave,Grande Colline
HT0123-04,Ouest,Grand-Goave,Moussambe
HT0123-03,Ouest,Grand-Goave,Moussambe
HT0221-04,Sud-Est,Bainet,Haut Grandou
HT0214-01,Sud-Est,La Vallee,Muzac
HT0513-02,Artibonite,L'Estere,Petites Desdunes
HT0513-01,Artibonite,L'Estere,Pont De L'Estere
HT0118-03,Ouest,Tabarre,Bellevue
HT0118-04,Ouest,Tabarre,Bellevue
HT0115-05,Ouest,Kenscoff,Belle Fontaine
HT0115-02,Ouest,Kenscoff,Bongars
